ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
996,Geeta Bhukkal,JHAJJAR (SC),INC,0,6 Crore+,1 Crore+,HARYANA,Post Graduate
997,G.K. Venkatashivareddy,SRINIVASAPUR,JD(S),1,15 Crore+,25 Thou+,KARNATAKA,Graduate Professional
998,Shimla Devi,ANUPGARH (SC),INC,0,2 Crore+,59 Lac+,RAJASTHAN,Post Graduate
999,Annabathuni Siva Kumar,TENALI,YSRCP,1,27 Crore+,5 Crore+,ANDHRA PRADESH,Graduate
1000,Gururaj Shetty Gantihole,BAINDUR,BJP,1,9 Crore+,10 Crore+,KARNATAKA,Others
1001,Dashrath Gagrai,KHARSAWAN (ST),JMM,6,4 Crore+,20 Lac+,JHARKHAND,Graduate
1002,Nandkishor,LONI,BJP,5,2 Crore+,35 Thou+,UTTAR PRADESH,Post Graduate
1003,Lokendra Pratap Singh,MOHAMMDI,BJP,0,0,10 Lac+,UTTAR PRADESH,Graduate Professional
1004,Kodali Sri Venkateswara Rao,GUDIVADA,YSRCP,4,14 Crore+,2 Crore+,ANDHRA PRADESH,8th Pass
1005,Ajit Pal Singh Kohli,PATIALA,AAP,1,32 Crore+,42 Lac+,PUNJAB,Post Graduate
1006,Sathish Reddy .M,BOMMANAHALLI,BJP,0,122 Crore+,47 Crore+,KARNATAKA,10th Pass
1007,Subodh Uniyal,NARENDRANAGAR,BJP,0,1 Crore+,1 Crore+,UTTARAKHAND,Post Graduate
1008,Sitanath Ghosh,JAGATBALLAVPUR,AITC,0,2 Crore+,0,WEST BENGAL,12th Pass
1009,Jaydeep Bihani,GANGANAGAR,BJP,3,12 Crore+,4 Crore+,RAJASTHAN,Graduate
1010,J. T. Patil,BILGI,INC,0,3 Crore+,4 Crore+,KARNATAKA,Graduate
1011,Vidhyadhar Singh,PHULERA,INC,0,70 Crore+,13 Crore+,RAJASTHAN,Post Graduate
1012,Nara Hari Mahato,JOYPUR,BJP,3,1 Crore+,2 Lac+,WEST BENGAL,Post Graduate
1013,Panna Lal Shakya,GUNA (SC),BJP,0,61 Lac+,3 Lac+,MADHYA PRADESH,Graduate Professional
1014,Madhav Singh,AGAR (SC),BJP,0,8 Crore+,57 Lac+,MADHYA PRADESH,12th Pass
1015,Y Mhonbemo Humtsoe,WOKHA (ST),NCP,0,7 Crore+,0,NAGALAND,Post Graduate
1016,Akhilesh Pati Tripathi,MODEL TOWN,AAP,4,15 Lac+,27 Lac+,DELHI,Post Graduate
1017,Harish Chandra,BILSI,BJP,0,1 Crore+,6 Lac+,UTTAR PRADESH,Post Graduate
1018,S. Muniraju,DASARAHALLI,BJP,0,28 Crore+,8 Crore+,KARNATAKA,10th Pass
1019,Bankar Diliprao Shankarrao,NIPHAD,NCP,4,68 Crore+,4 Crore+,MAHARASHTRA,Graduate
1020,U.T. Khader Fareed,MANGALORE,INC,3,6 Crore+,69 Lac+,KARNATAKA,Graduate Professional
1021,Lavingji Muljiji Solanki,RADHANPUR,BJP,0,66 Lac+,9 Lac+,GUJARAT,Literate
1022,Abbaya Chowdary Kothari,DENDULURU,YSRCP,2,15 Crore+,6 Crore+,ANDHRA PRADESH,Graduate Professional
1023,C K Ramamurthy,JAYANAGAR,BJP,3,33 Crore+,4 Crore+,KARNATAKA,12th Pass
1024,Daleshwar Sahu,DONGARGAON,INC,0,0,2 Lac+,CHHATTISGARH,12th Pass
1025,Dr. Pradip Kumar Barma,JALPAIGURI (SC),AITC,1,2 Crore+,18 Lac+,WEST BENGAL,Graduate Professional
1026,Sri Alo Libang,TUTING YINGKIONG,BJP,0,2 Crore+,0,ARUNACHAL PRADESH,Graduate
1027,Md. Ghulam Rabbani,GOALPOKHAR,AITC,3,1 Crore+,41 Lac+,WEST BENGAL,Post Graduate
1028,Bablu Rajesh Shukla,BIJAWAR,BJP,0,6 Crore+,36 Lac+,MADHYA PRADESH,12th Pass
1029,Dulal Chandra Das,MAHESHTALA,AITC,0,13 Crore+,2 Crore+,WEST BENGAL,8th Pass
1030,Bhawna Bohra,PANDARIYA,BJP,0,33 Crore+,6 Crore+,CHHATTISGARH,Post Graduate
1031,Sekarbabu. P.K,HARBOUR,DMK,25,2 Crore+,17 Lac+,TAMIL NADU,10th Pass
1032,Brijesh,DEOBAND,BJP,1,1 Crore+,12 Lac+,UTTAR PRADESH,Graduate
1033,S.Chandran,TIRUTTANI,DMK,0,4 Crore+,3 Lac+,TAMIL NADU,Graduate Professional
1034,Damodaran.S,KINATHUKADAVU,AIADMK,0,5 Crore+,0,TAMIL NADU,10th Pass
1035,Vijay Alias Balasaheb Bhausaheb Thorat,SANGMNER,INC,0,0,17 Lac+,MAHARASHTRA,Graduate Professional
1036,Manisha Vakil,VADODARA CITY (SC),BJP,0,2 Crore+,18 Lac+,GUJARAT,Doctorate
1037,Ramakant,PHOOLPUR-PAWAI,SP,3,10 Crore+,0,UTTAR PRADESH,10th Pass
1038,Raghunandan Das,BALIKUDA-ERASAMA,BJD,0,3 Crore+,4 Lac+,ODISHA,Graduate Professional
1039,Subhash Uttam Phal Dessai,SANGUEM,BJP,0,8 Crore+,1 Crore+,GOA,Post Graduate
1040,Anwar Sadath,ALUVA,INC,18,62 Lac+,40 Lac+,KERALA,10th Pass
1041,Sarvan Singh Dhun,KHEM KARAN,AAP,0,1 Crore+,32 Lac+,PUNJAB,8th Pass
1042,Bharat Bind,BHABUA,RJD,4,84 Lac+,0,BIHAR,10th Pass
1043,Tanhaji Sakharamji Mutkule,HINGOLI,BJP,1,2 Crore+,95 Lac+,MAHARASHTRA,10th Pass
1044,Tukuni Sahu,TITLAGARH,BJD,0,4 Crore+,16 Lac+,ODISHA,Graduate
1045,Katara Rameshbhai Bhurabhai,FATEPURA (ST),BJP,0,0,0,GUJARAT,Others
1046,K Radhakrishnan,CHELAKKARA,CPI(M),1,34 Lac+,4 Lac+,KERALA,Graduate
1047,Dipankar Sen,BELONIA,CPI(M),4,27 Lac+,0,TRIPURA,12th Pass
1048,Samir Kumar Mohanty,BAHARAGORA,JMM,3,6 Lac+,4 Lac+,JHARKHAND,Graduate
1049,Jayant Rajaram Patil,ISLAMPUR,NCP,0,16 Crore+,0,MAHARASHTRA,12th Pass
1050,Raghvendra Kumar Singh,BHARTHANA (SC),SP,1,1 Crore+,50 Lac+,UTTAR PRADESH,Post Graduate
1051,Pr. Siva,THIRUNALLAR,IND,1,37 Lac+,0,PUDUCHERRY,Graduate Professional
1052,Puja,MEHNAGAR (SC),SP,0,1 Crore+,36 Lac+,UTTAR PRADESH,Post Graduate
1053,Rajendra Kumar,MUHAMMADABAD-GOHNA (SC),SP,2,1 Crore+,0,UTTAR PRADESH,Graduate
1054,Mahendra Kallappa Tammannavar,KUDACHI (SC),INC,1,7 Crore+,25 Lac+,KARNATAKA,Graduate
1055,Adv. V Joy,VARKALA,CPI(M),1,59 Lac+,14 Lac+,KERALA,Graduate Professional
1056,Devendra Pratap Singh,SARENI,SP,0,2 Crore+,15 Lac+,UTTAR PRADESH,Post Graduate
1057,Malati Rava Roy,TUFANGANJ,BJP,9,71 Lac+,1 Lac+,WEST BENGAL,Graduate
1058,Punnulal Mohle,MUNGELI (SC),BJP,0,5 Crore+,0,CHHATTISGARH,12th Pass
1059,Bijendra Chaudhary,MUZAFFARPUR,INC,6,2 Crore+,36 Lac+,BIHAR,Graduate
1060,Mansinh Kohyabhai Chauhan,BALASINOR,BJP,1,0,6 Lac+,GUJARAT,Graduate Professional
1061,Ujjal Biswas,KRISHNANAGAR DAKSHIN,AITC,0,7 Crore+,1 Crore+,WEST BENGAL,Graduate
1062,Ladu Lal Pitliya,SAHARA,BJP,0,20 Crore+,5 Crore+,RAJASTHAN,10th Pass
1063,Rajesh Chaudhary,MANT,BJP,1,7 Crore+,95 Lac+,UTTAR PRADESH,Graduate Professional
1064,Mahendra Sadashiv Thorve,KARJAT,SHS,3,19 Crore+,2 Crore+,MAHARASHTRA,10th Pass
1065,Amritpal Singh Sukhanand,BAGHA PURANA,AAP,1,62 Lac+,0,PUNJAB,Graduate Professional
1066,Prasanta Kumar Jagadev,CHILIKA,BJD,10,2 Crore+,1 Crore+,ODISHA,12th Pass
1067,Vikramsinh Balasaheb Sawant,JAT,INC,2,4 Crore+,35 Lac+,MAHARASHTRA,Graduate
1068,P. Rajeeve,KALAMASSERY,CPI(M),3,5 Crore+,13 Lac+,KERALA,Graduate Professional
1069,Ajit Aanantrao Pawar,BARAMATI,NCP,1,75 Crore+,3 Crore+,MAHARASHTRA,10th Pass
1070,Nilesh Dnyandev Lanke,PARNER,NCP,4,75 Lac+,32 Lac+,MAHARASHTRA,Graduate
1071,Lalitendu Bidyadhar Mohapatra,BRAHMAGIRI,BJP,2,0,11 Lac+,ODISHA,Post Graduate
1072,Dr. Sita Saran Sharma,HOSHANGABAD,BJP,0,13 Crore+,25 Lac+,MADHYA PRADESH,Graduate Professional
1073,H.M.Ganesh Prasad,GUNDLUPET,INC,0,27 Crore+,16 Crore+,KARNATAKA,Graduate
1074,Hemant Meena,PRATAPGARH (ST),BJP,0,3 Crore+,14 Lac+,RAJASTHAN,Graduate
1075,Ashok Raosaheb Pawar,SHIRUR,NCP,2,13 Crore+,2 Crore+,MAHARASHTRA,Graduate Professional
1076,Konthoujam Govindas Singh,BISHENPUR,BJP,0,8 Crore+,30 Lac+,MANIPUR,Graduate
1077,Puppala Srinivasarao,UNGUTURU,YSRCP,0,7 Crore+,54 Lac+,ANDHRA PRADESH,12th Pass
1078,Surendra Singh Gahrwar,CHITRAKOOT,BJP,0,14 Crore+,0,MADHYA PRADESH,Post Graduate
1079,Karambir Singh,DASUYA,AAP,1,1 Crore+,98 Lac+,PUNJAB,Graduate Professional
1080,P.P Chitharanjan,ALAPPUZHA,CPI(M),8,97 Lac+,0,KERALA,10th Pass
1081,Manju Rajendra Dadu,NEPANAGAR (ST),BJP,1,78 Lac+,0,MADHYA PRADESH,Graduate Professional
1082,P.K.Parmar,DASADA (SC),BJP,0,91 Lac+,12 Lac+,GUJARAT,Others
1083,Dinganglung Gangmei,NUNGBA (ST),BJP,1,1 Crore+,0,MANIPUR,Post Graduate
1084,K. Harish Gowda,CHAMARAJA,INC,0,3 Crore+,68 Lac+,KARNATAKA,12th Pass
1085,Chandrakant Nimba Patil,MUKTAINAGAR,IND,0,2 Crore+,45 Lac+,MAHARASHTRA,12th Pass
1086,Niamot Sheikh,HARIHARPARA,AITC,1,2 Crore+,9 Lac+,WEST BENGAL,8th Pass
1087,Daleep Singh Rawat,LANSDOWNE,BJP,2,1 Crore+,29 Lac+,UTTARAKHAND,Graduate
1088,Rajendra Prasad Singh,BERMO,INC,0,13 Crore+,0,JHARKHAND,12th Pass
1089,Brtyabrata Basu,DUM DUM,AITC,0,3 Crore+,0,WEST BENGAL,Post Graduate
1090,Dr. H C Mahadevappa,T. NARASIPUR (SC),INC,2,3 Crore+,44 Lac+,KARNATAKA,Graduate Professional
1091,Thokchom Satyabrata Singh,YAISKUL,BJP,0,0,0,MANIPUR,Post Graduate
1092,Subodh Deb Barma,CHARILAM (ST),Tipra Motha Party,0,50 Lac+,0,TRIPURA,Post Graduate
1093,Nauri Nayak,RENGALI,BJP,6,61 Lac+,12 Lac+,ODISHA,Graduate Professional
1094,Benei M Lamthiu,THONOKNYU (ST),NPP,0,2 Crore+,0,NAGALAND,Graduate
1095,Surendra Prasad Yadav,BELAGANJ,RJD,9,8 Crore+,41 Lac+,BIHAR,Post Graduate
1096,Sudarshan Singh Babloo,CHINTPURNI (SC),INC,3,2 Crore+,10 Crore+,HIMACHAL PRADESH,12th Pass
1097,Mukesh Choudhary,NAKUR,BJP,3,2 Crore+,15 Lac+,UTTAR PRADESH,Graduate
1098,Chaitarbhai Damjibhai Vasava,DEDIAPADA (ST),AAP,8,60 Lac+,0,GUJARAT,Graduate
1099,Kethireddy Pedda Reddy,TADIPATRI,YSRCP,8,5 Crore+,1 Crore+,ANDHRA PRADESH,8th Pass
1100,N. Kayisii,TADUBI (ST),NPP,0,2 Crore+,0,MANIPUR,12th Pass
1101,Ommani Varma,NARAINI (SC),BJP,0,51 Lac+,2 Hund+,UTTAR PRADESH,Graduate
1102,Rajanikant Singh,ANGUL,BJD,0,2 Crore+,16 Lac+,ODISHA,Post Graduate
1103,Pranab Prakash Das,JAJPUR,BJD,0,1 Crore+,0,ODISHA,12th Pass
1104,Jiga Susaran Horo,SISAI (ST),JMM,1,57 Lac+,0,JHARKHAND,10th Pass
1105,Nand Kishore Yadav,PATNA SAHIB,BJP,1,0,0,BIHAR,12th Pass
1106,Ganesh Chandra,DHANGHATA (SC),BJP,0,1 Crore+,15 Lac+,UTTAR PRADESH,Graduate
1107,Siddharth Tiwari (Raj),TEONTHAR,BJP,0,0,0,MADHYA PRADESH,Graduate Professional
1108,Bisahu Lal Singh,ANUPPUR (ST),BJP,12,14 Crore+,1 Crore+,MADHYA PRADESH,Graduate
1109,Ashutosh Tandon (Gopal Ji),LUCKNOW EAST,BJP,1,8 Crore+,0,UTTAR PRADESH,Graduate
1110,Devinderjeet Singh,DHARAMKOT,AAP,0,49 Lac+,17 Lac+,PUNJAB,Graduate
1111,Tapas Kumar Saha,TEHATTA,AITC,1,55 Lac+,0,WEST BENGAL,Graduate
1112,Charan Das Mahant,SAKTI,INC,0,20 Crore+,10 Lac+,CHHATTISGARH,Doctorate
1113,Ravi Naik,PONDA,BJP,1,14 Crore+,39 Thou+,GOA,Post Graduate
1114,Ishwarsinh Thakorbhai Patel,ANKLESHWAR,BJP,0,4 Crore+,74 Lac+,GUJARAT,Graduate
1115,Sibu Misra,LUMDING,BJP,0,87 Lac+,6 Lac+,ASSAM,10th Pass
1116,Rathod Sanjay Dulichand,DIGRAS,SHS,4,8 Crore+,2 Crore+,MAHARASHTRA,Graduate Professional
1117,Ayar Mulubhai Hardasbhai Bera,KHAMBHALIA,BJP,0,5 Crore+,2 Lac+,GUJARAT,10th Pass
1118,Pawan Kumar Jaiswal,DHAKA,BJP,5,5 Crore+,60 Lac+,BIHAR,Graduate
1119,Shankarbhai Lagdhirbhai Chaudhary,THARAD,BJP,0,0,15 Lac+,GUJARAT,Post Graduate
1120,Pranav Kumar Marpachi,MARWAHI (ST),BJP,0,71 Lac+,12 Lac+,CHHATTISGARH,Post Graduate
1121,Praful Pansheriya,KAMREJ,BJP,0,19 Crore+,2 Crore+,GUJARAT,Graduate
1122,Munirathna,RAJARAJESHWARINAGAR,BJP,8,293 Crore+,102 Crore+,KARNATAKA,10th Pass
1123,B. Bangtick Phom,TAMLU (ST),IND,0,1 Crore+,0,NAGALAND,10th Pass
1124,Ulhas Tuenkar,NAVELIM,BJP,0,2 Crore+,1 Lac+,GOA,Others
1125,Vinod Shankar,DHAURAHRA,BJP,1,2 Crore+,3 Lac+,UTTAR PRADESH,Post Graduate
1126,P.M.Narendraswamy,MALAVALLI (SC),INC,1,0,5 Crore+,KARNATAKA,Graduate Professional
1127,Abhay Mishra,SEMARIYA,INC,0,34 Crore+,3 Crore+,MADHYA PRADESH,Graduate
1128,S Chakrapani Reddy,SRISAILAM,YSRCP,1,68 Crore+,16 Crore+,ANDHRA PRADESH,12th Pass
1129,Suhas Dwarkanath Kande,NANDGAON,SHS,7,11 Crore+,1 Crore+,MAHARASHTRA,Graduate
1130,Muthusamy S,ERODE WEST,DMK,9,13 Crore+,0,TAMIL NADU,Post Graduate
1131,Adhikari Suvendu,NANDIGRAM,BJP,1,1 Crore+,0,WEST BENGAL,Post Graduate
1132,Manish Yadav,SHAHPURA,INC,3,3 Lac+,0,RAJASTHAN,Post Graduate
1133,Vidyawati Sidar,LAILUNGA (ST),INC,0,1 Crore+,4 Lac+,CHHATTISGARH,12th Pass
1134,Kento Jini,ALONG EAST,BJP,0,8 Crore+,9 Lac+,ARUNACHAL PRADESH,Graduate Professional
1135,Birbaha Hansda,JHARGRAM,AITC,0,3 Lac+,0,WEST BENGAL,Graduate
1136,Omkumar,NEHTAUR (SC),BJP,0,34 Crore+,12 Crore+,UTTAR PRADESH,12th Pass
1137,Manish Rawat,SIDHAULI (SC),BJP,5,4 Crore+,1 Crore+,UTTAR PRADESH,Post Graduate
1138,Yashoda Nilamber Verma,KHAIRAGARH,INC,0,2 Crore+,13 Lac+,CHHATTISGARH,10th Pass
1139,Philip Kumar Reang,KANCHANPUR (ST),Tipra Motha Party,1,26 Lac+,0,TRIPURA,Post Graduate
1140,C.V.M.P. Ezhailzrasan,KANCHEEPURAM,DMK,5,7 Crore+,24 Lac+,TAMIL NADU,Graduate Professional
1141,N.K.Akbar,GURUVAYOOR,CPI(M),1,0,5 Lac+,KERALA,Graduate
1142,Katasani Rambhupal Reddy,PANYAM,YSRCP,0,39 Crore+,3 Crore+,ANDHRA PRADESH,Graduate
1143,Narendra Budania,TARANAGAR,INC,0,6 Crore+,2 Crore+,RAJASTHAN,Graduate Professional
1144,Lalit Kumar Yadav,DARBHANGA RURAL,RJD,1,17 Crore+,2 Crore+,BIHAR,Post Graduate
1145,Rakesh Kumar,SUNDERNAGAR,BJP,0,3 Crore+,44 Lac+,HIMACHAL PRADESH,Graduate
1146,Hekani Jakhalu,DIMAPUR-III (ST),NDPP,0,5 Crore+,41 Lac+,NAGALAND,Post Graduate
1147,Shekhar Govindrao Nikam,CHIPLUN,NCP,1,8 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
1148,Shahid Manzoor,KITHORE,SP,2,4 Crore+,0,UTTAR PRADESH,Post Graduate
1149,Imkongmar,MONGOYA,NDPP,0,2 Crore+,0,NAGALAND,Graduate
1150,Harendra Singh,GARHMUKTESHWAR,BJP,1,7 Crore+,21 Lac+,UTTAR PRADESH,Post Graduate
1151,Uppalapati Venkata Ramanamurthy Raju,YELAMANCHILI,YSRCP,1,38 Crore+,12 Crore+,ANDHRA PRADESH,Graduate
1152,Sapam Kunjakeswor (Keba) Singh,PATSOI,BJP,1,23 Lac+,32 Lac+,MANIPUR,Graduate
1153,Vinay Kumar,SRI RENUKAJI (SC),INC,0,8 Crore+,1 Crore+,HIMACHAL PRADESH,10th Pass
1154,Mukul Roy,KRISHNANAGAR UTTAR,BJP,19,79 Lac+,0,WEST BENGAL,Post Graduate
1155,Katharbatcha Muthuramalingam,RAMANATHAPURAM,DMK,5,0,14 Lac+,TAMIL NADU,12th Pass
1156,Naveen Patnaik,BIJEPUR,BJD,0,63 Crore+,15 Lac+,ODISHA,Graduate
1157,Manoj Yadav,BELHAR,JD(U),0,7 Crore+,1 Crore+,BIHAR,12th Pass
1158,Deepti Kiran Maheshwari,RAJSAMAND,BJP,0,9 Crore+,2 Crore+,RAJASTHAN,Others
1159,Ajay Kumar Poddar,KULTI,BJP,2,0,6 Lac+,WEST BENGAL,Graduate Professional
1160,Dr. Aher Rahul Daulatrao,CHANDWAD,BJP,0,22 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
1161,Balasaheb Alias Shamrao Pandurang Patil,KARAD NORTH,NCP,0,18 Crore+,52 Lac+,MAHARASHTRA,12th Pass
1162,Pr.Senthilnathan,SIVAGANGA,AIADMK,1,7 Crore+,2 Crore+,TAMIL NADU,Graduate Professional
1163,Soham Chakraborty,CHANDIPUR,AITC,0,4 Crore+,1 Crore+,WEST BENGAL,Graduate
1164,Mohammad Azam Khan,RAMPUR,SP,87,0,0,UTTAR PRADESH,Graduate Professional
1165,Ravindra Jaiswal,VARANASI NORTH,BJP,3,26 Crore+,70 Lac+,UTTAR PRADESH,Post Graduate
1166,Sujit Bose,BIDHANNAGAR,AITC,0,6 Crore+,1 Crore+,WEST BENGAL,10th Pass
1167,Vijay Singh,NAWAN,BJP,0,5 Crore+,27 Lac+,RAJASTHAN,Graduate
1168,Budhrai Tudu,TAPAN (ST),BJP,0,57 Lac+,27 Lac+,WEST BENGAL,Graduate Professional
1169,Amirul Islam,SAMSERGANJ,AITC,3,1 Crore+,2 Lac+,WEST BENGAL,Graduate
1170,Vishnu Khatri,BERASIA (SC),BJP,0,8 Crore+,1 Crore+,MADHYA PRADESH,Graduate Professional
1171,Inamdar Ketanbhai Mahendrabhai,SAVLI,BJP,0,3 Crore+,30 Lac+,GUJARAT,12th Pass
1172,Bhaskar Bhaurao Jadhav,GUHAGAR,SHS,0,17 Crore+,5 Crore+,MAHARASHTRA,10th Pass
1173,Koche Munda,TORPA (ST),BJP,0,83 Lac+,7 Lac+,JHARKHAND,Post Graduate
1174,Veena Bharti,TRIVENIGANJ (SC),JD(U),0,3 Crore+,0,BIHAR,12th Pass
1175,Zeeshan Baba Siddique,VANDRE EAST,INC,0,8 Crore+,76 Lac+,MAHARASHTRA,Graduate
1176,Rajendra Vitthal Raut,BARSHI,IND,6,27 Crore+,16 Crore+,MAHARASHTRA,12th Pass
1177,Bachcha Pandey,BARHARIA,RJD,0,4 Crore+,1 Crore+,BIHAR,10th Pass
1178,K H Puttaswamy Gowda,GAURIBIDANUR,IND,0,1267 Crore+,5 Crore+,KARNATAKA,Graduate
1179,Prakash Veer,RAJAULI (SC),RJD,2,5 Crore+,14 Lac+,BIHAR,12th Pass
1180,Ramesh Khinchi,KATHUMAR (SC),BJP,0,2 Crore+,30 Lac+,RAJASTHAN,Graduate
1181,Rameshwar Oraon,LOHARDAGA (ST),INC,0,28 Crore+,18 Lac+,JHARKHAND,Doctorate
1182,Girish Dattatraya Mahajan,JAMNER,BJP,0,25 Crore+,44 Lac+,MAHARASHTRA,12th Pass
1183,Chandana Sarkar,BAISNABNAGAR,AITC,0,1 Crore+,22 Lac+,WEST BENGAL,Graduate
1184,Adv. Nirmla Sapre,BINA (SC),INC,1,2 Crore+,35 Lac+,MADHYA PRADESH,Post Graduate
1185,Umang Singhar,GANDHWANI (ST),INC,2,0,10 Lac+,MADHYA PRADESH,Graduate
1186,Rakesh Shukla,MEHGAON,BJP,0,1 Crore+,0,MADHYA PRADESH,Graduate
1187,Shakti Lal Shah,GHANSHALI (SC),BJP,0,31 Lac+,2 Lac+,UTTARAKHAND,12th Pass
1188,Dineshsinh Rajendrasinh Kushwaha,BAPUNAGAR,BJP,0,6 Crore+,1 Crore+,GUJARAT,12th Pass
1189,Sanjay Bhaskar Raymulkar,MEHKAR (SC),SHS,0,1 Crore+,44 Lac+,MAHARASHTRA,10th Pass
1190,P.C.Vishnunadh,KUNDARA,INC,6,53 Lac+,4 Lac+,KERALA,Graduate
1191,Akbari Divyeshbhai Ranchhodbhai,JAMNAGAR SOUTH,BJP,0,0,1 Crore+,GUJARAT,12th Pass
1192,Pramod Nainwal,RANIKHET,BJP,0,5 Crore+,25 Lac+,UTTARAKHAND,Doctorate
1193,Ponnada Venkata Satish Kumar,MUMMIDIVARAM,YSRCP,0,6 Crore+,74 Lac+,ANDHRA PRADESH,12th Pass
1194,Haribaboo Rai,ASHOK NAGAR (SC),INC,3,4 Crore+,1 Crore+,MADHYA PRADESH,Graduate Professional
1195,Nirmala Dileepsingh Bhuria,PETLAWAD (ST),BJP,0,2 Crore+,0,MADHYA PRADESH,Graduate
1196,Dr. Anil Kumar Maurya,GHORAWAL,BJP,1,7 Crore+,2 Crore+,UTTAR PRADESH,Doctorate
1197,Banna Gupta,JAMSHEDPUR WEST,INC,4,4 Crore+,41 Lac+,JHARKHAND,10th Pass
1198,Humayun Kabir,BHARATPUR,AITC,10,3 Crore+,34 Lac+,WEST BENGAL,12th Pass
1199,Ambika Roy,KALYANI (SC),BJP,1,87 Lac+,0,WEST BENGAL,Graduate Professional
1200,Mathura Lal Damar,RATLAM RURAL (ST),BJP,0,0,28 Lac+,MADHYA PRADESH,5th Pass
1201,Rani Pakshalika Singh,BAH,BJP,0,58 Crore+,29 Lac+,UTTAR PRADESH,Graduate
1202,Adhikary Paresh Chandra,MEKLIGANJ (SC),AITC,0,2 Crore+,38 Lac+,WEST BENGAL,12th Pass
1203,Sanjay Uikey,BAIHAR (ST),INC,0,1 Crore+,38 Lac+,MADHYA PRADESH,Post Graduate
1204,Lakhan Ghanghoria,JABALPUR PURBA (SC),INC,2,24 Crore+,4 Crore+,MADHYA PRADESH,Graduate Professional
1205,M.Appavu,RADHAPURAM,DMK,7,2 Crore+,47 Lac+,TAMIL NADU,12th Pass
1206,Bankim Chandra Ghosh,CHAKDAHA,BJP,1,1 Crore+,50 Thou+,WEST BENGAL,12th Pass
1207,Venkatesan A,SHOLAVANDAN (SC),DMK,0,1 Crore+,85 Lac+,TAMIL NADU,Graduate
1208,Er. Shashi Bhushan Singh,SUGAULI,RJD,7,10 Crore+,85 Lac+,BIHAR,12th Pass
1209,Shyamdhani Rahi,KAPILVASTU (SC),BJP,3,21 Lac+,1 Lac+,UTTAR PRADESH,Graduate
1210,Jagdeep Kamboj,JALALABAD,AAP,1,3 Crore+,32 Lac+,PUNJAB,Graduate Professional
1211,Antonio Vas,CORTALIM,IND,0,4 Crore+,1 Crore+,GOA,10th Pass
1212,Nareshbhai Maganbhai Patel,GANDEVI (ST),BJP,0,3 Crore+,37 Lac+,GUJARAT,10th Pass
1213,Doctor Sanjeev Kumar,PARBATTA,JD(U),7,19 Crore+,1 Crore+,BIHAR,Doctorate
1214,Deep Raj,KARSOG (SC),BJP,0,1 Crore+,15 Lac+,HIMACHAL PRADESH,Graduate Professional
1215,Ajit Maity,PINGLA,AITC,1,0,0,WEST BENGAL,12th Pass
1216,Rohit Bohra,RAJAKHERA,INC,1,24 Crore+,4 Crore+,RAJASTHAN,Post Graduate
1217,Onkar Sahu,DHAMTARI,INC,0,1 Crore+,0,CHHATTISGARH,12th Pass
1218,Amrendra Pratap Singh,ARRAH,BJP,0,2 Crore+,0,BIHAR,Graduate
1219,Chhotey Lal Verma,FATEHABAD,BJP,0,6 Crore+,11 Lac+,UTTAR PRADESH,8th Pass
1220,Preetam Lodhi,PICHHORE,BJP,9,93 Lac+,0,MADHYA PRADESH,10th Pass
1221,Arbinstone B Marak,SELSELLA (ST),NPP,0,35 Lac+,6 Lac+,MEGHALAYA,Graduate
1222,Brajesh Yadav,SAHASWAN,SP,1,0,12 Lac+,UTTAR PRADESH,12th Pass
1223,Dorababu Pendem,PITHAPURAM,YSRCP,2,1 Crore+,0,ANDHRA PRADESH,10th Pass
1224,Balbir Singh,PATIALA RURAL,AAP,2,8 Crore+,0,PUNJAB,Post Graduate
1225,Sudip Kumar Mukherjee,PURULIA,BJP,3,45 Lac+,0,WEST BENGAL,8th Pass
1226,Lakshmi Raj,SIKANDRABAD,BJP,2,0,55 Lac+,UTTAR PRADESH,Post Graduate
1227,Rajesh Agrawal,AMBIKAPUR,BJP,0,10 Crore+,2 Crore+,CHHATTISGARH,10th Pass
1228,Atul Bhatkhalkar,KANDIVALI EAST,BJP,0,0,37 Lac+,MAHARASHTRA,Graduate
1229,Basanagouda R Patil (Yatnal),BIJAPUR CITY,BJP,4,26 Crore+,20 Crore+,KARNATAKA,Graduate
1230,Dalip Thakur,SARKAGHAT,BJP,0,66 Lac+,0,HIMACHAL PRADESH,10th Pass
1231,Davinder Kumar,KUTLEHAR,INC,0,0,4 Crore+,HIMACHAL PRADESH,12th Pass
1232,Kaling Moyong,PASIGHAT EAST,BJP,0,2 Crore+,0,ARUNACHAL PRADESH,12th Pass
1233,Dara Singh Chauhan,GHOSI,SP,3,4 Crore+,3 Lac+,UTTAR PRADESH,12th Pass
1234,Abhay Verma,LAXMI NAGAR,BJP,3,1 Crore+,22 Lac+,DELHI,Graduate Professional
1235,Baburam,PURANPUR (SC),BJP,1,1 Crore+,0,UTTAR PRADESH,Graduate Professional
1236,Shinde Babanrao Vitthalrao,MADHA,NCP,1,14 Crore+,53 Lac+,MAHARASHTRA,10th Pass
1237,Dr. Nitin Raut,NAGPUR NORTH (SC),INC,4,21 Crore+,4 Crore+,MAHARASHTRA,Doctorate
